Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.69915599
East Asia & Pacific (excluding high income),EAP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.562986278
Early-demographic dividend,EAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.345692631
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.071788628
Europe & Central Asia (excluding high income),ECA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.583597179
Europe & Central Asia,ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.882181867
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.495570554
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.525862866
Euro area,EMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.54514044
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.210687333
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.249157873
Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.60802104
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.143524928
European Union,EUU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.468462215
Fragile and conflict affected situations,FCS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.988604312
Finland,FI1,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.34721998
Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.345470364
France,FR1,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Faroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,13.09289436
"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.297581999
Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.649976866
United Kingdom,GB1,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.776795985
Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.717167113
Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.585289432
Gibraltar,GIB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.8040134
Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.255224608
"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.247408381
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.164583657
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.653235449
Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.793848369
Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.427794052
Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.071886235
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.059947788
Guam,GUM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.090037673
High income,HIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.39292979
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.948891039
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.058473626
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.276852353
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.189377314
Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.274687476
Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.639973434
IBRD only,IBD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.418627399
IDA & IBRD total,IBT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.453639334
IDA total,IDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.551236124
IDA blend,IDB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.887013216
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.153758127
IDA only,IDX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.379888948
Isle of Man,IMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.817783386
Not classified,INX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.930340975
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.316701233
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.191404781
Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.154683862
Israel,IS1,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.625351861
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.830147084
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.628700806
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.944372824
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,13.89268146
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.36511748
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.609873016
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.629141866
Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.58659486
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.616688295
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.11106978
Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,24.95251303
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.778044234
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.594704584
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.694800615
Liberia,LBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.302199709
Libya,LBY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.788506729
St. Lucia,LCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.301754211
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.922612085
Least developed countries: UN classification,LDC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.341969015
Low income,LIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.271829641
Liechtenstein,LIE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.363269425
Sri Lanka,LKA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.101846767
Lower middle income,LMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.515452398
Low & middle income,LMY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.403971497
Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.210551224
